,prime,target,group,pair_index,mask,key_name,correct,key_rt,key_tDown,bm_dur,prime_dur,fm_dur,target_dur,frame_rate
65,peco,dry,control,138,TIOESAQU,z,True,0.8444675999999163,27655.886064099996,0.4811243000003742,0.10041300000011688,0.05124660000001313,0.0502928999994765,60.05800401929283
66,escada,cream,incongruent,55,SEKFXZGG,m,True,-3.6455825000011832,27653.596143400002,0.4752816000000166,0.10062960000141176,0.04858109999986482,0.051013599997531855,58.59009956197282
67,cavalo,cherry,incongruent,53,NVXCPHGV,m,True,-1.1769314999983178,27658.087106700004,0.4834248000006482,0.09855179999794927,0.05101990000184742,0.051297300000442185,60.359173296826285
68,perigo,cough,incongruent,95,UWROJTPF,z,True,0.8691065000020899,27662.645195999998,0.4801512000012736,0.09926110000014887,0.049995099998341175,0.050683700002991834,59.568769761928394
69,coelho,rabbit,congruent,21,VLLPHUHH,m,True,-3.3425914999970696,27660.519314499998,0.4787218999990728,0.09900560000096448,0.05060220000086702,0.05047299999932875,59.65191912123984
70,semata,week,control,139,EPQXMKQK,z,True,0.7526149000004807,27666.548146200003,0.4748379000011482,0.10115280000172787,0.05070489999707206,0.049544800000148825,61.23811215179834
71,bicicleta,bike,congruent,14,XGTSUOMR,m,True,-3.1344204999986687,27664.6281439,0.4779441999999108,0.10084600000118372,0.05016780000005383,0.049004799999238464,59.87052400469098
72,suave,doubt,incongruent,77,XHISZQTT,z,True,0.6514052999991691,27670.494031000002,0.4861458000013954,0.09930639999947743,0.049556199999642565,0.04962249999880442,60.298538062544395
73,semana,dry,incongruent,89,MQXQGMJV,z,True,0.761239100000239,27672.5058944,0.4869870000002266,0.10096980000162148,0.05006769999818062,0.049600199999986216,60.025126518430824
74,gato,lion,incongruent,74,BLLTRIJA,m,True,-5.094327399998292,27668.601012700005,0.4876930999998877,0.09944960000211722,0.049987699996563606,0.050326100001257146,59.76186093558518
75,dantar,sing,control,146,TLRAOBQZ,z,True,1.0026219999999741,27676.9641569,0.4823913000000175,0.1000744000011764,0.0513104999990901,0.04960879999998724,60.36219732822755
76,cantar,danger,incongruent,96,BSGXHSYL,z,True,0.7546718000012334,27678.8831335,0.4840748999995412,0.10010630000033416,0.05006919999868842,0.05007359999945038,59.58080139745768
77,nomento,moment,control,142,XUPETOHJ,m,False,-5.414475100002163,27674.681071900006,0.4784343999999692,0.10037629999715136,0.04914670000289334,0.049093300000095035,60.1869044137934
78,bosse,cough,control,144,IEHOXFAR,z,True,0.6985664999992878,27683.083382,0.4850925999999163,0.10093810000034864,0.04902360000050976,0.0516868999984581,59.78165348908404
79,outobo,autumn,control,143,KBDFLZJT,z,True,1.0748528999974951,27685.454157300002,0.4807371999995666,0.09837469999911264,0.0510074000012537,0.04884849999871221,60.213976386461475
80,alegria,joy,congruent,30,GAOVCCDK,z,True,0.7250295000012557,27687.406048799996,0.4901360999974713,0.09918360000301618,0.05004539999936242,0.050123999997595085,60.63420957862518
